Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stockholm;98210;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;max, 1 gång per dygn;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1859-01-01 00:00:00;2019-09-25 08:00:00;43.133;59.3417;18.0549

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2019-07-23 18:00:01;2019-07-24 18:00:00;2019-07-24;28.5;Y
2019-07-24 18:00:01;2019-07-25 18:00:00;2019-07-25;31.0;Y
2019-07-25 18:00:01;2019-07-26 18:00:00;2019-07-26;29.7;Y
2019-07-26 18:00:01;2019-07-27 18:00:00;2019-07-27;29.2;Y
2019-07-27 18:00:01;2019-07-28 18:00:00;2019-07-28;32.0;Y
2019-07-28 18:00:01;2019-07-29 18:00:00;2019-07-29;27.5;Y
2019-07-29 18:00:01;2019-07-30 18:00:00;2019-07-30;21.2;Y
2019-07-30 18:00:01;2019-07-31 18:00:00;2019-07-31;17.7;Y
2019-07-31 18:00:01;2019-08-01 18:00:00;2019-08-01;20.1;Y
2019-08-01 18:00:01;2019-08-02 18:00:00;2019-08-02;25.8;Y
2019-08-02 18:00:01;2019-08-03 18:00:00;2019-08-03;21.3;Y
2019-08-03 18:00:01;2019-08-04 18:00:00;2019-08-04;19.3;Y
2019-08-04 18:00:01;2019-08-05 18:00:00;2019-08-05;23.2;Y
2019-08-05 18:00:01;2019-08-06 18:00:00;2019-08-06;21.3;Y
2019-08-06 18:00:01;2019-08-07 18:00:00;2019-08-07;25.2;Y
2019-08-07 18:00:01;2019-08-08 18:00:00;2019-08-08;22.2;Y
2019-08-08 18:00:01;2019-08-09 18:00:00;2019-08-09;22.3;Y
2019-08-09 18:00:01;2019-08-10 18:00:00;2019-08-10;20.5;Y
2019-08-10 18:00:01;2019-08-11 18:00:00;2019-08-11;22.5;Y
2019-08-11 18:00:01;2019-08-12 18:00:00;2019-08-12;22.8;Y
2019-08-12 18:00:01;2019-08-13 18:00:00;2019-08-13;22.2;Y
2019-08-13 18:00:01;2019-08-14 18:00:00;2019-08-14;21.2;Y
2019-08-14 18:00:01;2019-08-15 18:00:00;2019-08-15;19.5;Y
2019-08-15 18:00:01;2019-08-16 18:00:00;2019-08-16;22.5;Y
2019-08-16 18:00:01;2019-08-17 18:00:00;2019-08-17;21.6;Y
2019-08-17 18:00:01;2019-08-18 18:00:00;2019-08-18;22.3;Y
2019-08-18 18:00:01;2019-08-19 18:00:00;2019-08-19;21.4;Y
2019-08-19 18:00:01;2019-08-20 18:00:00;2019-08-20;22.0;Y
2019-08-20 18:00:01;2019-08-21 18:00:00;2019-08-21;21.4;Y
2019-08-21 18:00:01;2019-08-22 18:00:00;2019-08-22;22.5;Y
2019-08-22 18:00:01;2019-08-23 18:00:00;2019-08-23;18.0;Y
2019-08-23 18:00:01;2019-08-24 18:00:00;2019-08-24;22.3;Y
2019-08-24 18:00:01;2019-08-25 18:00:00;2019-08-25;23.8;Y
